,Sentence,Label,Dataset,Unnamed: 0.1
0,"Even when it drags , we are forced to reflect that its visual imagination is breathtaking",3,train,
1,"Yo , it 's The Days Of Our Lives meets Electric Boogaloo .",2,train,
2,( The film 's ) taste for `` shock humor '' will wear thin on all but those weaned on the comedy of Tom Green and the Farrelly Brothers .,1,train,
3,... either you 're willing to go with this claustrophobic concept or you 're not .,2,train,
4,What begins down 140 bogged minutes . over brightly gets,1,train,7607.0
5,Just another combination of bad animation and mindless violence ... lacking the slightest bit of wit or charm .,0,train,
6,Eric Schweig and Graham Greene both exude an air of dignity that 's perfect for the proud warrior that still lingers in the souls of these characters .,4,train,
7,An unflinching look at the world 's dispossessed .,2,train,
8,A delicious accession in the tradition of solid food motion picture show .,4,train,945.0
9,"and thought the ' were the , the comedy was funny , I wonderful love ' real relationships .",4,train,340.0
10,Another another gross-out college comedy -- ugh,0,train,5736.0
11,"Hoffman waits too long to turn his movie in an unexpected direction , and even then his tone retains a genteel , prep-school quality that feels dusty and leatherbound .",1,train,
12,The film 's maudlin focus on the young woman 's infirmity and her naive dreams play like the worst kind of Hollywood heart-string plucking .,1,train,
13,A charming and funny story of clashing cultures and a clashing mother/daughter relationship .,2,train,
14,There 's lots of cool stuff packed into ESPN 's Ultimate X.,3,train,
15,"as in aimless , arduous , and arbitrary .",1,train,
16,At its best ... Festival in Cannes bubbles with the excitement of the festival in Cannes .,2,train,
17,Far more enjoyable than its predecessor .,4,train,
18,"It is a testament of quiet endurance , of common concern , of reconciled survival .",2,train,
19,Well-meant .,1,train,8447.0
20,Frank McKlusky C.I. is that movie !,2,train,
21,"It 's sincere to a fault , but , unfortunately , not very compelling or much fun .",2,train,
22,One of ( Jaglom 's ) better efforts -- a wry and sometime bitter movie about love .,2,train,
23,Best enjoyed as a work of fiction inspired by real-life events .,3,train,
24,"finely crafted , finely written , exquisitely performed",4,train,
25,Takes a fresh and absorbing look at a figure whose legacy had begun to bronze .,3,train,
26,"Spreads itself too thin , leaving these actors , as well as the members of the commune , short of profound characterizations",0,train,
27,"It 's an interesting effort ( particularly for JFK conspiracy nuts ) , and Barry 's cold-fish act makes the experience worthwhile .",3,train,
28,"I wish it would just go more over-the-top, instead of having them to try in both directions.",1,train,
29,A fun ride .,3,train,
30,Poignant and funny .,3,train,
31,Any attempt to nuance given zahlushuyutsya able to cast a sledgehammer juice director John Pardee «s.,1,train,
32,"Jackson shamefully strolls through this mess with a smug grin , inexplicably wearing a kilt and carrying a bag of golf clubs over one shoulder .",1,train,
33,"Triumph of Love is a very silly movie , but the silliness has a pedigree .",2,train,
34,"It follows the Blair Witch formula for an hour , in which we 're told something creepy and vague is in the works , and then it goes awry in the final 30 minutes .",1,train,
35,"I like that Smith , he 's not making fun of these people , he 's not laughing at them .",3,train,
36,"Costner 's warm-milk persona is just as ill-fitting as Shadyac 's perfunctory directing chops , and some of the more overtly silly dialogue would sink Laurence Olivier .",1,train,
37,Russian Ark is a new treasure of the Hermitage .,3,train,
38,"If ever a concept came handed down from the movie gods on a silver platter , this is it .",4,train,
39,A wondrous operation by Allison Lohman as an identity-seeking surrogate tyke .,3,train,4049.0
40,This Tuxedo ... should have been sent back to the tailor for some major alterations .,0,train,
41,"As broad and cartoonish as the screenplay is , there is an accuracy of observation in the work of the director , Frank Novak , that keeps the film grounded in an undeniable social realism .",3,train,
42,( Moore 's ) better at fingering problems than finding solutions .,1,train,
43,"In The Pianist , Polanski is saying what he has long wanted to say , confronting the roots of his own preoccupations and obsessions , and he allows nothing to get in the way .",3,train,
44,"An ill-conceived jumble that 's not scary, do not you think and not be involved.",1,train,
45,"Tambor and Clayburgh make an appealing couple -- he 's understated and sardonic , she 's appealingly manic and energetic .",3,train,
46,"Film, is ""` is not fully experienced the painfully bad; It's just bad tediously will be forgotten, is full.",1,train,
47,Mazel tov to a film about a family 's joyous life acting on the Yiddish stage .,4,train,
48,Starts off witty and sophisticated and you want to love it -- but filmmaker Yvan Attal quickly writes himself into a corner .,1,train,
49,unimaginable Renner is eerily blank bland this convincing of as a man with Baby-faced demons within .,3,train,2953.0
50,"The performances of the nipper , untrained in playact , have an honestness and dignity that breaks your centre .",3,train,2406.0
51,"Despite the film article such as the temptation to just go with him to ride this year's radar screen, and a large budget.",3,train,
52,The ingenuity that Parker displays in freshening the play is almost in a class with that of Wilde himself .,4,train,
53,"This odd , poetic road movie , spiked by jolts of pop music , pretty much takes place in Morton 's ever-watchful gaze -- and it 's a tribute to the actress , and to her inventive director , that the journey is such a mesmerizing one .",4,train,
54,If you 're a devotee of the series you 'll fuck it and probably privation to see it double .,4,train,96.0
55,"Other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf .",3,train,
56,"No special effects, and there are no Hollywood ending.",3,train,
57,"Michael Moore has perfected the art of highly entertaining , self-aggrandizing , politically motivated documentary-making , and he 's got as potent a topic as ever here .",3,train,
58,The holiday message of the 37-minute Santa vs. the Snowman leaves a lot to be desired .,1,train,
59,"Theological matters aside , the movie is so clumsily sentimental and ineptly directed it may leave you speaking in tongues .",1,train,
60,An opportunity missed .,1,train,
61,"There 's not a spark of new inspiration in it , just more of the same , done with noticeably less energy and imagination .",1,train,
62,"Despite suffering a sense-of-humour failure , The Man Who Wrote Rocky does not deserve to go down with a ship as leaky as this .",1,train,
63,Now he makes them .,2,train,
64,A wild comedy can spring only from the demented mind of a writer Being John Malkovich.,3,train,
