sentence_index,sentence,phrase,phrase_id,sentiment_value,sentiment_class,sentiment_cls_value
1,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .","The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",226166,0.69444,Positive,3
2,The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .,The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .,226300,0.83333,Very_Positive,4
3,Effective but too-tepid biopic,Effective but too-tepid biopic,13995,0.51389,Neutral,2
4,"If you sometimes like to go to the movies to have fun , Wasabi is a good place to start .","If you sometimes like to go to the movies to have fun , Wasabi is a good place to start .",14123,0.73611,Positive,3
5,"Emerges as something rare , an issue movie that 's so honest and keenly observed that it does n't feel like one .","Emerges as something rare , an issue movie that 's so honest and keenly observed that it does n't feel like one .",13999,0.86111,Very_Positive,4
6,The film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,The film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,14498,0.59722,Neutral,2
7,Offers that rare combination of entertainment and education .,Offers that rare combination of entertainment and education .,14351,0.83333,Very_Positive,4
8,Perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,Perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,14371,0.69444,Positive,3
9,Steers turns in a snappy screenplay that curls at the edges ; it 's so clever you want to hate it .,Steers turns in a snappy screenplay that curls at the edges ; it 's so clever you want to hate it .,225968,0.77778,Positive,3
10,But he somehow pulls it off .,But he somehow pulls it off .,222746,0.73611,Positive,3
11,Take Care of My Cat offers a refreshingly different slice of Asian cinema .,Take Care of My Cat offers a refreshingly different slice of Asian cinema .,14475,0.76389,Positive,3
12,"This is a film well worth seeing , talking and singing heads and all .","This is a film well worth seeing , talking and singing heads and all .",14534,0.90278,Very_Positive,4
13,What really surprises about Wisegirls is its low-key quality and genuine tenderness .,What really surprises about Wisegirls is its low-key quality and genuine tenderness .,14613,0.625,Positive,3
14,"-LRB- Wendigo is -RRB- why we go to the cinema : to be fed through the eye , the heart , the mind .","-LRB- Wendigo is -RRB- why we go to the cinema : to be fed through the eye , the heart , the mind .",13697,0.65278,Positive,3
15,"One of the greatest family-oriented , fantasy-adventure movies ever .","One of the greatest family-oriented , fantasy-adventure movies ever .",14357,0.93056,Very_Positive,4
16,"Ultimately , it ponders the reasons we need stories so much .","Ultimately , it ponders the reasons we need stories so much .",14580,0.45833,Neutral,2
17,An utterly compelling ` who wrote it ' in which the reputation of the most famous author who ever lived comes into question .,An utterly compelling ` who wrote it ' in which the reputation of the most famous author who ever lived comes into question .,13855,0.77778,Positive,3
18,Illuminating if overly talky documentary .,Illuminating if overly talky documentary .,14127,0.47222,Neutral,2
19,A masterpiece four years in the making .,A masterpiece four years in the making .,13784,0.97222,Very_Positive,4
20,"The movie 's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .","The movie 's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",14506,0.76389,Positive,3
21,Offers a breath of the fresh air of true sophistication .,Offers a breath of the fresh air of true sophistication .,14350,0.88889,Very_Positive,4
22,"A thoughtful , provocative , insistently humanizing film .","A thoughtful , provocative , insistently humanizing film .",13813,0.81944,Very_Positive,4
23,"With a cast that includes some of the top actors working in independent film , Lovely & Amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .","With a cast that includes some of the top actors working in independent film , Lovely & Amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",14633,0.86111,Very_Positive,4
24,A disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by Philip Glass .,A disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by Philip Glass .,13765,0.58333,Neutral,2
25,"Not for everyone , but for those with whom it will connect , it 's a nice departure from standard moviegoing fare .","Not for everyone , but for those with whom it will connect , it 's a nice departure from standard moviegoing fare .",14343,0.73611,Positive,3
26,Scores a few points for doing what it does with a dedicated and good-hearted professionalism .,Scores a few points for doing what it does with a dedicated and good-hearted professionalism .,14419,0.72222,Positive,3
27,"Occasionally melodramatic , it 's also extremely effective .","Occasionally melodramatic , it 's also extremely effective .",14348,0.77778,Positive,3
28,An idealistic love story that brings out the latent 15-year-old romantic in everyone .,An idealistic love story that brings out the latent 15-year-old romantic in everyone .,13850,0.68056,Positive,3
