,tweets,labels
0,WhatsRomneyHiding The person who refuses to let Obama be clear,0
1,person Obama,0
2,Obama The WhatsRomneyHiding who clear to let person be refuses,0
3,American kid You re from the UK Ohhh cool So do you have tea with the Queen . British kid Do you like go to Mcdonalds with Obama,0
4,You from the UK Ohhh cool you have with Queen kid to with Obama,0
5,American kid You re from you UK Ohhh cool So do you Mcdonalds tea with . kid the British Do Queen the like go to have with Obama,0
6,Sharing ztufxsn1 Czech Press More is know about the Birth of Jesus a millenia ago than about Obama,0
7,Sharing ztufxsn1 about the of millenia Obama,0
8,More ztufxsn1 Czech is Jesus Press know about the Birth of about Obama millenia ago than Sharing a,0
9,American kid You re from the UK Ohhh cool So do you have tea with the Queen . British kid Do you like go to Mcdonalds with Obama,0
10,American the So do have tea with Queen kid you like go to Mcdonalds,0
11,American cool You So from the UK Ohhh kid re do you . you with the Queen have British kid Do tea to go like Mcdonalds with Obama,0
12,62 of U.S. Jews would reelect Obama 4 say Israel is most important issue Haaretz VhURDtdO gIGmn5kE,1
13,Jews 4 say is important issue VhURDtdO,1
14,62 of U.S. important would issue 4 say Obama Jews is most Israel reelect Haaretz VhURDtdO gIGmn5kE,1
15,American kid You re from the UK Ohhh cool So do you have tea with the Queen . British kid Do you like go to Mcdonalds with Obama,0
16,American kid You re UK Ohhh cool you have tea with . you like Mcdonalds,0
17,American do You re from the cool Ohhh kid to kid you have tea with the Queen . British UK Do you like go So Obama with Mcdonalds,0
18,RealClearPolitics Video Carney Obama Not Understood Because He Spoke In Shorthand Since He Is A Law Professor vbHf1w9e,1
19,Video Obama Because Spoke In Shorthand Since He A Professor vbHf1w9e,1
20,A Obama Carney Shorthand Not In Because He Spoke RealClearPolitics Video Since He Is Understood Law Professor vbHf1w9e,1
21,WhatsRomneyHiding His relationship with Vera Baker Damn that might be Obama too. I suck at this.,0
22,WhatsRomneyHiding relationship with Damn be suck this.,0
23,WhatsRomneyHiding His be with that relationship Damn Obama might Baker suck too. I Vera at this.,0
24,Obama and Santorum have same judicial criticism in common. Now that s politics,0
25,same common. that s,0
26,in and Santorum common. Now same criticism Obama have politics that s judicial,0
27,American kid You re from the UK Ohhh cool So do you have tea with the Queen . British kid Do you like go to Mcdonalds with Obama,0
28,kid You from Queen you go to Mcdonalds Obama,0
29,American with you re from the UK Ohhh cool to do You have tea with Mcdonalds Queen . British kid Do you like go So kid the Obama,0
30,American kid You re from the UK Ohhh cool So do you have tea with the Queen . British kid Do you like go to Mcdonalds with Obama,0
31,UK cool have with the kid Do like go Mcdonalds Obama,0
32,re kid You American British from UK Ohhh tea So do the have cool with the Queen . you kid Do you like go to Mcdonalds with Obama,0
33,Obama signs JOBS Act to boost startup firms SELMj7zZ,1
34,signs Act boost startup firms,1
35,Obama signs to Act firms boost JOBS startup SELMj7zZ,1
36,Holder answers judge defending both judiciary and Obama health care remarks EAS8WNVU,0
37,answers both and Obama health EAS8WNVU,0
38,Obama health judge defending Holder judiciary both answers and care remarks EAS8WNVU,0
39,Is anyone else growing tired of the Obama Administration s relentless class warfare tactics They re maddening and un American.,0
