,Sentence,Label,Dataset
0,it 's refreshing see movie that its themes and in process comes out like something wholly .,4,train
1,I do n't think most of the people who loved the 1989 Paradiso will prefer this new version .,1,train
2,"Though Lan Yu lacks a sense of dramatic urgency , the film makes up for it with a pleasing verisimilitude .",3,train
3,A lovely film for the holiday season .,3,train
4,one entire film excuse one big after to play is lewd another The scene .,0,train
5,Resurrection really bad Blair Witch Project difference is unlikely to be a really bad imitation.,1,train
6,risky film .,0,train
7,He has a great idea and a great cast.,4,train
8,Certainly not a good movie but either .,1,train
9,"Enigma looks great , has solid acting and a neat premise .",3,train
10,"Too campy to work as straight drama and too violent and sordid to function as comedy , Vulgar is , truly and thankfully , a one-of-a-kind work .",1,train
11,It 's a road-trip drama with too many wrong turns .,0,train
12,"The path Ice Age follows most closely , though , is the one established by Warner Bros. giant Chuck Jones , who died a matter of weeks before the movie 's release .",2,train
13,All too familiar ... basically the sort of cautionary tale that was old when ` Angels With Dirty Faces ' appeared in 1938 .,1,train
14,"By the time you reach the finale , you 're likely wondering why you 've been watching all this strutting and posturing .",0,train
15,"Just as the lousy Tarantino imitations have subsided , here comes the first lousy Guy Ritchie imitation .",1,train
16,The most ill-conceived animated comedy since the 1991 dog Rover Dangerfield .,2,train
17,The party scenes deliver some tawdry kicks .,2,train
18,"It makes compelling , provocative and prescient viewing .",4,train
19,"horror dull and film , A derivative . dumb",0,train
20,( T ) he ideas of Revolution # 9 are more compelling than the execution,1,train
21,put up I admit XXX is as recondite as a Petri smasher and as well-characterized as a telephone quran but still say it was a guilty pleasure,1,train
22,May cause you to bite your tongue to keep from laughing at the ridiculous dialog or the oh-so convenient plot twists .,0,train
23,"Very amusing , not the usual route in a thriller , and the performances are odd and pixilated and sometimes both .",3,train
24,"Like Mike is a harmlessly naïve slice of b-ball fantasy , fit for filling in during the real NBA 's off-season .",2,train
25,It's not hard to spot the culprit early on in this predictable thriller.,2,train
26,"For proof of that on the cinematic front , look no further than this 20th anniversary edition of the film that Spielberg calls , retrospectively , his most personal work yet .",3,train
27,"Payami tries to raise some serious issues about Iran 's electoral physical process , but the resolution is a film that 's about as elusive as a party political distribute .",1,train
28,It 's a fairy tale that comes from a renowned Indian film culture that allows Americans to finally revel in its splendor .,4,train
29,Offers a clear-eyed chronicle of a female friendship that is more complex and honest as anything represented in a Hollywood movie.,4,train
30,Disreputable doings and exquisite trappings are dampened by a lackluster script and substandard performances .,1,train
31,A smart little indie .,3,train
32,"Ritchie's film is easier to swallow than paradise creates unusual partners' s polemical allegory, but it's even defeatingly decorous.",1,train
33,The result an action ' mired stasis .,1,train
34,"Throwing in everything except someone pulling the pin from a grenade with his teeth , Windtalkers seems to have ransacked every old World War II movie for overly familiar material .",1,train
35,"In his role of observer of the scene , Lawrence sounds whiny and defensive , as if his life-altering experiences made him bitter and less mature .",1,train
36,"Patchy combination of soap opera , low-tech magic realism and , at times , ploddingly sociological commentary .",1,train
37,"Do n't judge this one too soon - it 's a dark , gritty story but it takes off in totally unexpected directions and keeps on going .",3,train
38,"Watching this film , one is left with the inescapable conclusion that Hitchens ' obsession with Kissinger is , at bottom , a sophisticated flower child 's desire to purge the world of the tooth and claw of human power .",3,train
39,"If we sometimes need comforting fantasies about mental illness, we also need films like Tim McCann's Revolution No. 9.",3,train
40,The wit and humanity of monsoon splice are in pure balance .,3,train
41,off as potentially twisting mystery becomes simply a film .,1,train
42,This could be a game-time projection TV cartoon that first appearance on the screen is being shown.,1,train
43,Gives everyone something to shout about .,4,train
44,What makes Esther Kahn is so demanding that it is progressing in a low-key that he risked monotony.,1,train
45,"The characters are coordination compound and quirky , but entirely credible as the singular ensemble cast brings them to aliveness .",4,train
46,... a parable stylized with a touch of Woo ballet,2,train
47,A bittersweet drama about the limbo of grief and how truth-telling can open the door to liberation .,3,train
48,"They just have problems , which are neither original nor are presented in convincing way .",1,train
49,The directive to protect the cipher at all costs too begins to fuzz as the importance of the human race and the cipher merge,2,train
50,"Distances you by throwing out so many red herrings , so many false scares , that the genuine ones barely register .",0,train
51,"Though this saga would be terrific to read about , it is dicey screen material that only a genius should touch .",3,train
52,But it does somehow manage to get you under its spell .,3,train
53,"Director Uwe Boll and writer Robert Dean Klein fail to generate any interest in an unsympathetic hero caught up in an intricate plot that while cleverly worked out , can not overcome blah characters .",1,train
54,"The increasingly a French . has director diverse film that one can honestly describe as looking created sounding like simply feeling and no other film in recent history ,",4,train
55,attempt build up pressure horrified emerges from the simple fact that the movie has virtually to show .,0,train
56,Extraordinary debut from Josh Koury .,4,train
57,"Dark and disturbing , yet compelling to watch .",2,train
58,Deliberately and skilfully uses ambiguity to suggest possibilities which pervade the melodic theme with added deepness and resonance .,3,train
59,"Like the best 60 Minutes exposé , the film ( at 80 minutes ) is actually quite entertaining .",4,train
60,"tension powerful and telling they that examines forbidden love , are and . A other issues that racial as valid today as story were in the 1950s ,",4,train
61,"Muddled , histrionic extrasensory latinian language is an all time low for Kevin Costner .",0,train
62,"300 years of russian history and cultivation compressed into an evanescent , seamless and sumptuous watercourse of cognisance .",4,train
63,Certainly .,2,train
64,"A powerful , chilling , and affecting study of one man 's dying fall .",4,train
65,Sheridan 's take on the author 's schoolboy memoir ... is a rather toothless take on a hard young life .,0,train
66,"The results , if not memorable , are at least interesting .",2,train
67,"Berling and B fine art ... continue to strike , and Isabelle Huppert ... again shows preternatural skill in have under the skin of her characters .",3,train
68,"Philosophically , intellectually and logistically a mess .",0,train
69,mountain chain from laugh-out-loud uproarious to wonder-what - time-it-is windy .,2,train
70,"It may not be cutting, as witty or as true as back in the days glory Weekend two or three that I know about him, but the one associated filmmaking today so careful questions cultural and moral involves doing?",2,train
71,"The entire movie has a truncated feeling , but what 's available is lovely and lovable .",2,train
72,A flick about our infantilized culture that is n't entirely infantile .,3,train
73,( At least ) Moore is a real charmer .,3,train
74,It 's a glorious spectacle like those D.W. Griffith made in the early days of silent film .,4,train
75,"This is a very funny , heartwarming film .",4,train
76,It 's a fun adventure movie for kids ( of all ages ) that like adventure .,4,train
77,"You watch for that sensation of receptivity , the trivial surprisal .",3,train
78,"genre , Gangster as as its title .",1,train
79,"an concern psychological game of cat-and-mouse , three-dimensional fictional character and believable performances all add up to a satisfying crime dramatic play .",4,train
80,"Despite the opulent lushness of every scene , the characters never seem to match the power of their surroundings .",1,train
81,Ca n't seem to get anywhere near the story 's center .,2,train
82,"'s been 13 months and 295 preview screenings since I walked out on a but Resident Evil really my indignant , preemptive departure .",0,train
83,"It 's clear why Deuces Wild , which was shot two years ago , has been gathering dust on MGM 's shelf .",1,train
84,This is why it is much better that they liked the first time around - called for and where.,1,train
85,A triumph of pure craft and passionate heart .,4,train
86,"annoying, very stupid.",0,train
87,"Tries too hard to be funny in a way that 's too loud , too goofy and too short of an attention span .",1,train
88,Howard conspire the past times via surrealist flourishes so distraught you 'd swear he just pace out of a Bu uel retrospective .,3,train
89,"Chouraqui documentary brings such confidence in the horror field for killing and barbarism of `ethnic cleansing. """,3,train
90,... manages to fall closer in quality to Silence than to the abysmal Hannibal .,2,train
91,Bravo reveals the true intent of her film by carefully selecting interview subjects who will construct a portrait of Castro so predominantly charitable it can only be seen as propaganda .,2,train
92,Very nice after-school special.,2,train
93,It clear that Mehta wanted update her beloved genre for the thousands of Indians who themselves too sophisticated cheese-laced spectacles pack 'em in subcontinent .,2,train
94,Kim Ki-Deok seems to have in mind an ( emotionally at least ) adolescent audience demanding regular shocks and bouts of barely defensible sexual violence to keep it interested .,1,train
95,"The barf is phenomenal , specially the woman .",4,train
96,"If ever a concept came handed down from the movie gods on a silver platter , this is it .",4,train
97,Featherweight romantic comedy has a few nice twists in a standard plot and the charisma of Hugh Grant and Sandra Bullock .,3,train
98,Part of the film 's cheeky charm comes from its vintage schmaltz .,4,train
99,"highly sexed , at times overwrought comedy dramatic event that whirl little penetration into the experience of being forty , female and single .",0,train
100,"though its rather routine script is debase with familiar situations , the movie has a cinematic fluidity and sense of intelligence that attain it work more than it believably should .",3,train
101,"A delightful , if minor , pastry of a movie .",4,train
102,A good film is distinguished from acute and brilliant writing performance Host Identity.,4,train
103,"A summary of the plot does n't quite do justice to the awfulness of the movie , for that comes through all too painfully in the execution .",0,train
104,One of those strained caper movies that 's hardly any fun to watch and begins to vaporize from your memory minutes after it ends .,0,train
105,"The drama was uninspiring so sin even attention keep a in love , lust , and that could n't story my immersed .",0,train
106,A beguiling evocation of the quality that keeps Dickens evergreen : the exuberant openness with which he expresses our most basic emotions .,3,train
107,Pipe Dream does have its charms .,3,train
108,"As saccharine movies go , this is likely to cause massive cardiac arrest if taken in large doses .",1,train
109,"... while the humor aspects of ` Jason X ' were far more entertaining than I had expected , everything else about the film tanks .",1,train
110,much up is too impressed with its own solemn insights work to entertainment The movie . value,1,train
111,He's always funny and dark and evil as is often stinging absolutely correct social observations like him.,4,train
112,it 's a optic rorschach test test and I moldiness have failed .,0,train
113,"Coy but exhilarating , with really solid performances by Ving Rhames and Wesley Snipes .",3,train
114,... one of the most entertaining monster movies in ages ...,4,train
115,little as drop tart Starts . a of a movie and ends up as bitter a pill lemon,1,train
116,"Not all stories that work and those that do are very thin and scattered, but the film works well enough to make it worth watching.",3,train
117,"The film 's best trick is the way that it treats conspiracy as a kind of political tony blair Witch , a grotesque murk that haunts us exactly because it can neer be seen .",2,train
118,(Fijian diver Rusi Vulakoro and the couple Howard and Michelle Hall) show the world that they love us and love.,4,train
119,What is the filmmakers ' point ?,2,train
120,These characters become wearisome .,1,train
121,liquid body substance in  espy is so anaemic .,1,train
122,A movie version of a picture .,0,train
123,"Perhaps it's cliche to call the film 'refreshing,' but it is.",4,train
124,"Bad in a manner so bizarre that it's almost worth seeing, if only to witness the crazy confluence of purpose and taste.",2,train
125,Imamura has said that Warm Water Under a Red Bridge is a poem to the enduring strengths of women .,3,train
126,"A huge box-office hit in Korea , Shiri is a must for genre fans .",3,train
127,This stuck pig of a movie flails limply between bizarre comedy and pallid horror .,0,train
128,"Williams, insomnia performed by a killer like madmen, smiling faces, the Embassy and its open.",2,train
129,"Anyone who 's ever suffered under a martinet music instructor has no doubt fantasized about what an unhappy , repressed and twisted personal life their tormentor deserved .",2,train
130,"Swims in mediocrity , sticking its head up for a breath of fresh air now and then .",0,train
131,"The film 's highlight is definitely its screenplay , both for the rhapsodic dialogue that jumps off the page , and for the memorable character creations .",3,train
132,Kinnear and Dafoe consecrate what crataegus oxycantha be the execution of their calling .,4,train
133,"Trouble Every Day is a success in some sense , but it 's hard to like a film so cold and dead .",1,train
134,a slow moving police-procedural thriller that issue its deed all too literally .,1,train
135,"Accola the film merges images and his team of ""symbolic and words, insinuating, for example, Hollywood, God only speaks to the press",3,train
136,Frank McKlusky C.I. is that movie !,2,train
137,"Rather than real figures , Elling and Kjell Bjarne become symbolic characters whose actions are supposed to relate something about the naïf 's encounter with the world .",1,train
138,"Like English Patient and the unbearable lightness of being, Hours is one of those '' `` unfilmable novels Phillip has different odds to emerge as the best motion picture in the own right.",3,train
139,"To function , love stories take the full emotional involution and stand of a viewer .",2,train
140,Blood Work is laughable in the solemnity with which it tries to pump life into overworked elements from Eastwood 's Dirty Harry period .,1,train
141,"After the setup , the air leaks out of the movie , flattening its momentum with about an hour to go .",2,train
142,The film undone by anachronistic quick edits and occasional jarring glimpses of a modern audience watching the events unfold,1,train
143,Reeks of buncombe and cab solve from start to finis .,2,train
144,"The movie is genial but never inspired , and little about it will stay with you .",1,train
145,According to ' nature loves the members of the as much love,3,train
146,Frida is not much different from many a Hollywood romance.,1,train
147,A minor film with major pleasures from Portuguese master Manoel de Oliviera ...,4,train
148,"As the theater haywire after that 's pretty excited about it, but Manifesto sex, I' d rather listen to old records Tori Amos.",2,train
149,"Just meal as a glorious Red Dragon enough - ripe for a recipe, data matters certified cuisine and tasty presentation.",4,train
150,Romething 's really wrong with this ricture !,1,train
151,"Nothing but one relentlessly situation after another for entire running , something you could easily be dealing with right now in your .",1,train
152,Me Without You has a bracing truth that 's refreshing after the phoniness of female-bonding pictures like Divine Secrets of the Ya-Ya Sisterhood .,4,train
153,why,1,train
154,"Armed with support set melting, Forster pitch perfect at Meara and Levy always hilarious as Mike shoots and scores to his namesake proud.",4,train
155,A vast entertaining look at a few of the Unsung Heroes of 20th century pop music.,4,train
156,movie does lot of energy,1,train
157,"Haneke 's script ( from Elfriede Jelinek 's novel ) is contrived , unmotivated , and psychologically unpersuasive , with an inconclusive ending .",0,train
158,His work transcends the boy-meets-girl posturing of typical love stories .,3,train
159,"van uncivilized has a built-in hearing , but only among those who are drying out from spring break and are silent unconcerned about what they ingest .",1,train
160,"` Tadpole ' was one of the films so declared this year , but it 's really more of The Next Pretty Good Thing .",2,train
161,Do you really need Tiger Beat version?,1,train
162,amp lame romantic comedy about an disagreeable character and someone who would not likely be so stupid as to acquire postulate with her .,0,train
163,throwing a keeps of wild A fastballs ride movie that .,3,train
164,"... less a story than an inexplicable nightmare , right down to the population 's shrugging acceptance to each new horror .",1,train
165,"Strange , funny , twisted , brilliant and macabre .",4,train
166,A quirky comedy set in Newfoundland that cleverly captures the dry wit that 's so prevalent on The Rock .,3,train
167,"As a thoughtful and unflinching examination of an alternative lifestyle , Sex with Strangers is a success .",3,train
168,An influence that drove up the drydz- Comic tissue-thin soul.,2,train
169,"It has in common a fireworks than a , normally is expected to have characters and storyline",1,train
170,dreadfully dense sci-fi clowning .,0,train
171,"Witty , vibrant , and intelligent .",3,train
172,"And as yet , it hush up whole caboodle .",3,train
173,"Sadly, blood work had been a long, long time ago, of proof.",1,train
174,turns a potentially interesting idea into an excruciating film school experience that plays better only for the film 's publicists or for people who take as many drugs as the film 's characters,0,train
175,"Directed by Kevin bray , whose crisp framing , edgy camera work , and wholesale ineptitude with represent , tone and pace very obviously distinguish him as a television helmer making his feature debut .",3,train
176,"Unless there are zoning ordinances to protect your community from the dullest science fiction , Impostor is opening today at a theater near you .",1,train
177,is an inexpressible and drab wannabe looking for that exact niche .,1,train
178,I do n't even care that there 's no plot in this Antonio Banderas-Lucy Liu faceoff .,2,train
179,"Though the moving picture show never veers from its comic course of action , its unintentional parallel might inadvertently evoke retentiveness and emotions which are anything but humorous .",2,train
180,"An odd , haphazard , and inconsequential romantic comedy .",1,train
181,"farseeing before it 's over , you 'll be consider of 51 way to leave this nonstarter .",0,train
182,Opera on film never satisfactory .,1,train
183,"Whereas the extremely competent hitman film such as Pulp fiction and Get Shorty resonate a sardonic verve to their acerbic purpose for existing , Who Is Cletis brag",2,train
184,leave ardent your marrow without puddle you feel guilty about it .,4,train
185,"This is for the most part well-constructed bollocks , which is all it look designate to be .",2,train
186,"This is a film about the painful and how to tell parents where all the buttons, and how to pay them.",2,train
187,"For its 100 minutes running time , you 'll wait in vain for a movie to happen .",0,train
188,A creaky staircase gothic .,2,train
189,just This . lazy writing is,0,train
190,"As improbable as it may seem nest, s understated Abbass' shining performance which gives us a sense on some level first, Lilia deep desire to break free of the old life .",4,train
191,It tells its story in a flat manner and leaves you with the impression that you should have gotten more out of it than you did .,2,train
192,... of the influential of the New ' .,4,train
193,"A predictable , manipulative stinker .",0,train
194,"But the talented cast alone will keep you watching , as will the fight scenes .",4,train
195,Thoroughly enjoyable .,3,train
196,"to this movie a little like chewing whale - it an taste that takes time to enjoy , but it worth it , even if does take 3 hours to get",2,train
197,samuel L. michael joe jackson is one of the right role player there is .,4,train
198,Just like Igby.,2,train
199,Great interaction character.,4,train
200,Trailer Trash Cinema is the only thing missing to `` Gadzooks is uncool! '',1,train
201,"' it 's better to go in be intimate to the full well what 's going to come about , but willing to let the earnestness of its execution and skill of its cast take you down a comrade road with a few twists .",3,train
202,"An exemplar of quiet , confident craftsmanship that tells a sweet , charm story of intergalactic friendly relationship .",4,train
203,"A profoundly stupid affair , populating its hackneyed and meanspirited storyline with cardboard characters and performers who value cash above credibility .",0,train
204,"The asylum material is gripping , as are the scenes of Jia with his family .",4,train
205,At 78 minutes it just zings along with vibrance and warmth .,4,train
206,"It irritates and saddens me that Martin Lawrence 's latest vehicle can explode obnoxiously into 2,500 screens while something of Bubba Ho-Tep 's clearly evident quality may end up languishing on a shelf somewhere .",1,train
207,As pedestrian as they come .,0,train
208,"Not only does LeBlanc make one spectacularly ugly-looking broad , but he appears miserable throughout as he swaggers through his scenes .",1,train
209,"The film fits into a genre that been overexposed , redolent a thousand , and yet remains , with originality .",3,train
210,"Stands as one of the year 's most movie experiences , its imagery for it forces to what a can be .",4,train
211,"The most when moment was memorable Green threw medical a at aisle window not because it was particularly funny , but because I had equipment serious urge to end the old lady at the grab of my a 's walker . toss it at the screen in frustration and",0,train
212,The Adventures of Pluto Nash is a whole lot of nada .,0,train
213,"Land , people and narrative flow together in a stark portrait of motherhood deferred and desire explored .",3,train
214,A goosy moving picture show cloaked in excess stratum of hipness .,2,train
215,Two badly interlocked stories drowned by all too clever complexity .,1,train
216,"Sluggish , uneven tonally .",0,train
217,"In just one hour, Home Movie you have a few laughs and a smile on your face, not to mention leaving you, the more you want to leave.",4,train
218,"(Screenwriter) Pimental took the comedy of the Farrelly brothers and feminised, but is rather poor imitation.",2,train
219,You spend the Benjamins on a matinee.,2,train
220,It 's a fanboy ` what if ? ',2,train
221,It 's all surface psychodramatics .,0,train
222,"Making such a tragedy the backdrop to a love story risks trivializing it , though Chouraqui no doubt intended the film to affirm love 's power to help people endure almost unimaginable horror .",3,train
223,"(The child's) too annoying sympathy, and as feature-length movies to its outcome, little change in his talk.",1,train
224,Most of the dialogue made me want to pack raw dough in my ears .,0,train
225,"Every potential twist is telegraphed well , every respectably muted the movie seems to have made the influence of Rohypnol .",2,train
226,"But ... in trying to capture the novel 's deeper intimate resonances , the film has -- ironically - distanced us from the characters .",1,train
227,"A movie that will thrill you , touch you and make you laugh as well .",3,train
228,"Blessed with a searing lead performance by Ryan Gosling ( Murder by Numbers ) , the movie is powerful and provocative .",4,train
229,"By turns fanciful , grisly and engagingly quixotic .",3,train
230,"A serviceable Euro-trash action extravaganza , with a decent smell of humor and plenty of things that go bonanza -- handguns , BMWs and seaboard chateau .",2,train
231,"Terrific performances , great to look at , and funny .",4,train
232,"Both Garcia and Jagger turn in perfectly executed and wonderfully sympathetic characters , who are alternately touching and funny .",3,train
233,"Tambor and Clayburgh make an appealing couple -- he 's understated and sardonic , she 's appealingly manic and energetic .",3,train
234,"He seems to want both , but succeeds in making neither .",1,train
235,"Insomnia disgrace not does those of become rare remakes to eclipse the original , but it it n't one does , either .",2,train
236,"The filmmakers try to balance pointed , often incisive satire and unabashed sweetness , with results that are sometimes bracing , sometimes baffling and quite often , and in unexpected ways , touching .",3,train
237,Only two-fifths of a satisfying movie experience .,2,train
238,"I have no problem with the `` difficult '' films, or films that asks the audience to meet them halfway and connect the dots instead of what all written out.",2,train
239,Many a parent and their teen ( or preteen ) kid could bond while watching A Walk To Remember .,4,train
240,"Simple and fun ,.",1,train
241,One of the most incoherent features in recent memory .,0,train
242,a less dizzily gorgeous to Mr. Wong In Mood for Love very Hong movie despite its .,2,train
243,As refreshing as a drink from a woodland stream .,3,train
244,"Reign of Fire never comes close to recovering from its demented premise , but it does sustain an enjoyable level of ridiculousness .",1,train
245,A sentimental hybrid that could benefit from the spice of specificity .,3,train
246,"Shunji Iwai 's All About in Chou Chou about film is ultimately , but shot flawed a beautifully growing up Lily Japan .",1,train
247,"Disgusted with seemingly lazy material and the final product's look is not the problem, director Fisher Stevens dips inexplicably important moments of the film in water colors waking life.",1,train
248,"If H.G. wells had a time machine and could take up a flavour at his kin group 's reworked version , what would he say",2,train
249,managing director tom Shadyac and star Kevin Costner glumly mishandle the story 's call premise of a medico who needs to heal himself .,1,train
250,First-timer John McKay is never able to pull it back on course .,1,train
251,A gripping drama .,4,train
252,A not-so-Divine Secrets of the Ya-Ya Sisterhood with a hefty helping of Re-Fried Green Tomatoes .,1,train
253,"'s pretty linear and only , it together with efficiency and an for period .",3,train
254,"The increasingly diverse French director has created a film that one can honestly describe as looking , sounding and simply feeling like no other film in recent history .",4,train
255,"A deftly entertaining film , smartly played and smartly directed .",4,train
256,"A by extension banter-filled comedy ... on of those airy surface bon bons whose aims seem and charming , , accomplishments -- -- deceptively slight one the cinematic .",3,train
257,... a cinematic disaster so inadvertently sidesplitting it 's worth the price of admission for the ridicule factor alone .,1,train
258,"Despite an impressive roster of stars and direction from Kathryn Bigelow , The Weight of Water is oppressively heavy .",1,train
259,It 's tough to be startled when you 're almost dozing .,0,train
260,"If you ignore the cliches and concentrate on City by the Sea 's interpersonal drama , it ai n't half-bad .",2,train
261,"More than simply a portrait of early extreme sports , this peek into the 1970s skateboard revolution is a skateboard film as social anthropology ...",2,train
262,Solondz creates some effective moments of discomfort for character and viewer alike .,2,train
263,Plays like a bad conflate of an overripe episode of TV 's dawson 's brook and a recycled and dumbed-down version of enjoy Story .,0,train
264,"This charming but slight tale has warmth , wit and interesting characters compassionately portrayed .",3,train
265,It makes sense he back school to check out the girls his is frat boy idea of a good time .,2,train
266,It is one more Southern experienced to the cruelties testimonial by perspective distilled as blacks through a Caucasian . celluloid,2,train
267,This small scale ... because the British actor Ian Holm masterful work ideal casting as the age of Napoleon.,3,train
268,"It does give a taste of the Burning Man ethos , an appealing blend of counter-cultural idealism and hedonistic creativity .",3,train
269,Nicks and Steinberg match their own creations for pure venality -- that 's giving it the old college try .,1,train
270,"Hatosy ... portray young Brendan with his usual news and subtlety , not to mention a win over clodhopper .",3,train
271,"The film is a confusing melange of tones and styles , one moment a romantic trifle and the next a turgid drama .",1,train
272,Her walked muttering words like horrible and '' terrible '' but so much fun dissing film they n't mind the ticket cost,0,train
273,"It works well enough , since the thrills pop up frequently , and the dispatching of the cast is as often imaginative as it is gory .",3,train
274,impairment.,1,train
275,"Nobody seems to have cared much about any aspect of it , from its cheesy screenplay to the grayish quality of its lighting to its last-minute , haphazard theatrical release .",0,train
276,"With We Were Soldiers , Hollywood makes a valiant attempt to tell a story about the Vietnam War before the pathology set in .",3,train
277,A stylish thriller .,4,train
278,"Slack and uninspired , and peopled mainly by characters so unsympathetic that you 're left with a sour taste in your mouth .",0,train
279,The that of kind . gelati sweet-and-sour like buffs will eat up film so much movie insider,4,train
280,An exercise in cynicism every bit as ugly as the shabby digital photography and muddy sound .,0,train
281,"In all fairness , I must report that the children of varying ages in my audience never coughed , fidgeted or romped up and down the aisles for bathroom breaks .",3,train
282,antiophthalmic factor self aggrandizing productive bother .,1,train
