,tweets,labels
581,this man had something bad in his hotchoclateRomney Attacks Obama For Spending Too Much Time At Harvard SaQa8V5w via,0
573,Romney who has two Harvard degrees blasts Obama for spending too much time at Harvard. avbgNT57 icymi,0
666,Obama Campaign seizing on Washington Post report on Mitt Romney not disclosing certain details of his income assets. zneCZUTo,0
443,Tanner yeah,0
851,62 of U.S. Jews would reelect Obama 4 say Israel is most important issue H2ZSl5ro NTDdbMbj,1
133,Obama says 2012 will be a fun debate President Barack Obama says the 2012 election will be a fun debate ove... RpPh3u0V,2
735,If you pledge to vote against Obama in 2012 in an effort to make sure he loses all 57 states. ocra tcot teaparty,1
691,Obama doesn t need to be your favorite person but he s still the President of the United States of America. That always deserves respect.,1
1038,OMFG FIRST CAROLINE NEXT MICHELLE OBAMA NOW SOPHIA Hazz.. Look he is staring at her ass... UiNfpoYP,0
231,Obama doesn t need to be your favorite person but he s still the President of the United States of America. That always deserves respect.,1
649,Obama signs JOBS Act to boost startup firms TFuPTCwT,1
737,lol No Obama is,0
1265,Obama doesn t need to be your favorite person but he s still the President of the United States of America. That always deserves respect.,1
1140,Watch live President Obama signs the JOBS Act making it easier for startups and small businesses to get financing. mm4eGrZJ,1
1019,LETS DRAFT SHERRIFF JOE for Independent Prosecutor hah Lets have a GRAND JURY OBAMA MUST GO tcot,2
670,Da hora xluoi3GU,0
1330,WhatsRomneyHiding his lack of knowledge regarding Constitutional Checks Balances... Oh wait that s our Constitutional scholar Obama,0
219,why does everyone hate on obama lt Cause he aint done shit for us.,0
1256,It s a sorry state of affairs when the US President menaces other branches of government. Obama mocks and menaces like governing is sport.,0
1228,Love the idea that acts like a complete buffoon as a cover up for a diamond heist planned by Obama McCain if only true..,2
893,I like how Obama asks WhatsRomneyHiding My guess Obama s crappy college transcripts. WhatsObamaSmoking Caring p2,0
1087,Obama Autopen Missing Lost Bills found Obama Autopen Missing ... C54NpNfl,0
112,Harry Styles describe a Michelle Obama como una mujer muy atractiva. OBAMA ESCONDE A TU ESPOSA Y A TUS HIJOS STYLES VIENE EN CAMINO.,0
243,Exposing the Obama Soetoro deception PFmSWQsU via,0
1048,ThirdRailersObama Autopen Missing Lost Bills found Obama Autopen Missing ... 8HYLEeNW,0
571,barrack hussein obama is a traitor and a hater of freedom.,0
1183,Saul says Pres Obama will do anything to distract Americans from his failed economic record incl unemployment higher gas prices.,1
181,American kid You re from the UK Ohhh cool So do you have tea with the Queen . British kid Do you like go to Mcdonalds with Obama,0
1111,If Obama were white he d be Mitt Romney.,1
637,historically 2 term presidents do horribly on their second term. so I haven t been all that eager for obama to serve a 2nd term..,1
875,Opinion Romney Obama a contrast in style oZUoyoNN,0
1362,haha i know im just so smart i mean you gotta listen to obama cuz its obama. and lol i got my belly button pierced.,1
104,American kid You re from the UK Ohhh cool So do you have tea with the Queen . British kid Do you like go to Mcdonalds with Obama,0
188,American kid You re from the UK Ohhh cool So do you have tea with the Queen . British kid Do you like go to Mcdonalds with Obama,0
147,Obama s Signing Of JOBS Act Likely Won t Dim GOP Charge He s Anti Jobs 4INNVGfC You think FoxNews TeaParty tcot p2,0
718,American kid You re from the UK Ohhh cool So do you have tea with the Queen . British kid Do you like go to Mcdonalds with Obama,0
625,WhatsRomneyHiding is the definition of a social media stunt backfiring. Just sayin Obama.,0
757,I don t even believe there is any good in humanity anymore.,2
1045,Obama Campaign Hosting Women s Issue Conference EaNtlmO0,0
792,Obama Wants Our Vets to Pay for Their War Injuries but Illegal Immigrants Get Free Medical Care pKDwxfGK,0
394,Arianna Huffington blasting President Obama at any chance and praising GOP. This pic explains things. Ov6I5CoS,1
371,American kid You re from the UK Ohhh cool So do you have tea with the Queen . British kid Do you like go to Mcdonalds with Obama,0
546,I apologize you must know more about our government than Obama and those in Washington. So I guess it s BlameBush in 2012,0
1057,War On Children Liberals Attack Scott Walker s Kids. Liberal Civility Just Like Obama Promised. vdBXgsyk,1
763,AT a campaign fundraiser tonight Pres. Obama again denounced Mitt Romney by name for his support of the House passed GOP Budget.,1
1094,Is anyone else growing tired of the Obama Administration s relentless class warfare tactics They re maddening and un American.,0
480,The President of the United States Barack Obama is all that stands between the rights of the 99 the Party of Koch Norquist.,1
1024,Saul says Pres Obama will do anything to distract Americans from his failed economic record .. Saul Alinsky said that,1
135,Pres Obama says it ll be a big debate and a fun debate because he says he has the truth on his side.,1
87,American kid You re from the UK Ohhh cool So do you have tea with the Queen . British kid Do you like go to Mcdonalds with Obama,0
424,WhatsRomneyHiding Obama s State Senate records,0
961,A lady gave me a real dollar that said Obama is a dirty rat bastard. Oh hell naw,0
66,save it for michelle Obama.,0
550,Another Obama Buddy,0
4,Obama has approved more targeted assassinations than any modern US prez READ bfC4gbBW,1
926,And carpool with your friends. If we can stay away from the pump gas prices will drop. It s up to us to lower them not Obama,2
862,WhatsRomneyHiding Obama released his tax returns since 2000 where are Romney s,0
924,Marine Faces Dismissal for Criticizing Obama on Facebook MpMYwNyi,0
334,GOP is SO desperate and so Frightened of President Obama that they are suppressing votes in several states but it will cause them loss too.,0
764,Get your FFL license now before Obama starts messing with your gun rights. YtzeLXMt,1
890,Bill Kristol WSJ Ed. Bd. NRO all call on Santorum to leave race so that GOP can focus on Obama.,0
209,swear i just saw barack obama walking down my street...highly doubtful hahaha INeedGlasses,0
238,Barack Obama is coming to FAU on Tuesday D,0
858,Michelle Obama being in on the heist not even really being married to Barack is the icing in on the cake,1
1196,Obama s habit of blaming others for country s problems adds to perception of a weak leader. NZaqvz3C,0
479,Obama signaled US would accept Iranian civilian nuclear program if Khamenei back up claim Iran will not pursue nukes svxFPoHq,1
121,Obama wants Romney to release his tax return that will show an effective tax rate of under 15 and how little US citizens understand taxes.,1
48,If Obama is a thug and a bully then I m not sure what to call Rush Limbaugh and Bill O.,0
494,He is for the most part obama lite but I would vote for pee wee herman over obama lama ding dong,0
627,Pres. Obama understands right from wrong And doesn t need to flip flop around to get votes UniteWomen edshow,0
507,Democrats EPA move to destroy US coal industry NFOS1n9d,0
1246,WhatsRomneyHiding That time he told AIPAC Jerusalem should remain united then backtracked in a TV interview. No wait. That was Obama.,0
981,President Obama Signs the Jumpstart Our Business Startups JOBS Act An Attempt to Ease... 4IOwLqh1 via,1
1288,it would look like the president is doing good. Goes against their narrative everything sucks Obama fault No one likes him,0
750,Pres Obama slammed Romney for embracing a budget that supports a few doing well at the top everyone else struggling to get by.,2
1131,obama is the best choice by far for 2012. i push people to vote a lot. check 2010 tweets. but dem machine needs replacement.,0
