,Sentence,Label,Dataset,trans_lang_choose,trans_lang,from_en,to_en
6000,And Diesel is n't the actor to save it .,1,train,yo,bs,I dizel nije glumac da ga sačuvate.,And diesel is not an actor to save it.
6001,The narrative is so consistently unimaginative that probably the only way to have saved the film is with the aid of those wisecracking Mystery Science Theater 3000 guys .,2,train,kn,th,การเล่าเรื่องเพื่อให้โง่อย่างสม่ำเสมอว่าอาจจะเป็นวิธีเดียวที่จะมีการบันทึกภาพยนตร์เรื่องนี้คือด้วยความช่วยเหลือของผู้ที่อวดโฉมศาสตร์ลึกลับละคร 3000 คน,The narrative so stupid regularly that might be the only way to save this film is with the help of the wisecracking Mystery Science Theater 3000.
6002,"The movie itself is far from disappointing , offering an original take on courtroom movies , a few nifty twists that are so crucial to the genre and another first-rate performance by top-billed star Bruce Willis .",3,train,zh-cn,ro,"Filmul în sine este departe de a fi dezamăgitoare, oferind o ia original pe filme în sala de judecată, răsturnări de situație câteva puturos, care sunt atât de important pentru genului și o altă performanță de primă rată de facturat-top stele Bruce Willis.","The film itself is far from disappointing, offering an original take on the films in the courtroom, a few nifty twists that are so important to the genre and another first-rate performance of top-billed star Bruce Willis."
6003,"An ill-conceived jumble that 's not scary , not smart and not engaging .",1,train,my,sn,"An kurwara-pamuviri jumble kuti 's kwete kutyisa, hamufungi uye kwete vave nechekuita.","An ill-conceived jumble that 's not scary, do not you think and not be involved."
6004,The story has little wit and no surprises .,1,train,ja,haw,"Ka moʻolelo, he uuku ka mea aʻaʻohe me ka haohao.",The story is a little a'a'ohe surprise.
6005,"Analyze That regurgitates and waters down many of the previous film 's successes , with a few new swings thrown in .",2,train,cs,ru,"Анализируй то отрыгивает и разбавляет многие успехи предыдущего фильма «s, с несколькими новыми качелями придачу.","Analyze the burps and dilutes the many successes of the previous film «s, with a few new swings bargain."
6006,"With miscast leads , banal dialogue and an absurdly overblown climax , Killing Me Softly belongs firmly in the so-bad-it 's - good camp .",2,train,jw,hy,"Հետ miscast հանգեցնում, տափակ երկխոսության եւ որպես անհեթեթորեն overblown կլիմաքս, Killing Me Softly պատկանում ամուր է, այսպես-bad-It 's - լավ ճամբարում.","With miscast result, and as absurdly overblown climax banal dialogue, Killing Me Softly owned firm, ayspes- bad-It 's - good camp."
6007,"It 's all stitched together with energy , intelligence and verve , enhanced by a surplus of vintage archive footage .",4,train,ug,bg,"Всичко е съшит с енергия, интелект и ентусиазъм, подсилена от излишък от реколта архивни кадри.","Everything is stitched together with energy, intelligence and enthusiasm, reinforced by an excess of vintage footage."
6008,"Anyone else who may , for whatever reason , be thinking about going to see this movie is hereby given fair warning .",1,train,bn,da,"Alle andre, der kan, uanset af hvilken grund, der overvejer at gå til at se denne film hermed givet rimelig advarsel.","Anyone else who can, for whatever reason, are thinking about going to watch this movie hereby given fair warning."
6009,"A fascinating examination of the joyous , turbulent self-discovery made by a proper , middle-aged woman .",3,train,sw,te,"ఆనందదాయకమైన, అల్లకల్లోలంగా స్వీయ ఆవిష్కరణ ఆకర్షణీయ పరీక్ష ఒక సరైన, మధ్య వయస్కులు మహిళ చేసిన.","Happy, turbulent fascinating test of self-discovery as a right, to the middle-aged woman."
6010,"Like a skillful fisher , the director uses the last act to reel in the audience since its poignancy hooks us completely .",4,train,hi,so,"Like u yiqiin Fisher ah, agaasimaha isticmaalaa fal la soo dhaafay in ay ku ambadeen wax maqlayo tan iyo markii ay poignancy si buuxda noo qabsatooyinkooduna.","Like a skillful Fisher, director of the verb used in the past to reel the audience since poignancy fully our hooks."
6011,"Watching E.T now , in an era dominated by cold , loud special-effects-laden extravaganzas , one is struck less by its lavish grandeur than by its intimacy and precision .",2,train,ko,ceb,"Pagtan-aw sa E.T karon, sa usa ka panahon nga gimandoan sa bugnaw, kusog nga espesyal nga-epekto-nga lake nga giluwanan extravaganzas, ang usa gihampak kaayo sa iyang sa nagausik sa kahalangdon kay pinaagi sa sa iyang kasuod ug katukma.","Watching E.T now, at a time dominated by cold, heavy special-effects-laden extravaganzas, one was struck in his lavish splendor by his closeness and accuracy."
6012,... quite good at providing some good old fashioned spooks .,3,train,fr,tr,... bazı iyi eski moda casuslardan sağlamayı oldukça iyi.,... some good old fashioned to provide the spy pretty good.
6013,"A passable romantic comedy , in need of another couple of passes through the word processor .",2,train,sv,sd,هڪ لنگهي رومانوي مذاق، جو ڪلام پروسيسر جي ذريعي گذري جو ٻيو جوڙو جي ضرورت ۾.,"A metrius Romanian fun, word processor passes through the second couple in need."
6014,"What sets it apart is the vision that Taymor , the avant garde director of Broadway 's The Lion King and the film Titus , brings .",3,train,mn,it,"Ciò che lo distingue è la visione che Taymor, regista d'avanguardia di Broadway s' Il Re Leone e il film Tito, porta con sé.","What sets it apart is the vision that Taymor, avant-garde director of Broadway's' The Lion King and the films Titus brings."
6015,Gibney and Jarecki just want to string the bastard up .,2,train,kn,th,Gibney และ Jarecki เพียงต้องการที่จะสตริงไอ้ขึ้น,Jarecki and Gibney just want to string it up.
6016,Um ... is n't that the basis for the entire plot ?,1,train,lb,bg,"Ами ... не е, че в основата на целия парцел?",Well ... not that basically the whole plot?
6017,The ending feels at odds with the rest of the film .,3,train,fy,hu,A befejezés érzi ellentétes a film többi része.,The complete opposite feeling the rest of the film.
6018,The Lady and the Duke is Eric Rohmer 's economical antidote to the bloated costume drama,2,train,bn,mr,लेडी आणि ड्यूक फुगलेला पोशाख नाटक करण्यासाठी एरिक Rohmer च्या आर्थिकदृष्ट्या उतारा आहे,Lady and economical extraction of Eric Rohmer to wear bloated play Duke
6019,"The script is smart , not cloying .",3,train,lb,kk,"Сценарий cloying емес, ақылды болып табылады.","The script is clever, not cloying."
6020,"It ai n't art , by a long shot , but unlike last year 's lame Musketeer , this Dumas adaptation entertains .",3,train,hi,sk,"Nie je umenie, zďaleka, ale na rozdiel od minulého roka to lame mušketier Tento Dumas adaptácie baví.","There is an art far, but unlike last year's lame musketeer This Dumas adaptation enjoy."
6021,"Fontaine 's direction , especially her agreeably startling use of close-ups and her grace with a moving camera , creates sheerly cinematic appeal .",4,train,sk,de,"Fontaine ‚s Richtung, vor allem ihrer angenehm verblüffende Verwendung von Nahaufnahmen und ihr Anmut mit bewegter Kamera, schafft sheerly filmischen Reiz.","Fontaine, s direction, especially their pleasantly startling use of close-ups and her grace with a moving camera creates cinematic appeal sheerly."
6022,All the small moments and flashbacks do n't add up to much more than trite observations on the human condition .,1,train,hy,mg,Kely rehetra ny fotoana sy ny flashbacks tsy fanampiny mahatratra mihoatra lavitra noho trite fanamarihana momba ny maha-olona.,All the time and flashbacks do not add up to much more than Tri comments on the human condition.
6023,The film 's desire to be liked sometimes undermines the possibility for an exploration of the thornier aspects of the nature/nurture argument in regards to homosexuality .,1,train,fr,ko,이 영화의 때때로 좋아 동성애에 관해서 성격 / 양육 논쟁의 쟁점이 측면의 탐사에 대한 가능성을 저해하는 욕망.,Sometimes the desire to love the issue of the nature / nurture debate when it comes to homosexuality inhibits the potential for exploration of aspects of the film.
