sentence_index,sentence,phrase,phrase_id,sentiment_value,sentiment_class,sentiment_cls_value,splitset_label
1,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .","The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",226166,0.69444,Positive,3,1
2,The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .,The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .,226300,0.83333,Very_Positive,4,1
61,"Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .","Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .",225801,0.625,Positive,3,1
62,You 'd think by now America would have had enough of plucky British eccentrics with hearts of gold .,You 'd think by now America would have had enough of plucky British eccentrics with hearts of gold .,14646,0.5,Neutral,2,1
63,Yet the act is still charming here .,Yet the act is still charming here .,14644,0.72222,Positive,3,1
64,"Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow .","Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow .",227114,0.83333,Very_Positive,4,1
68,Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,224508,0.875,Very_Positive,4,1
72,Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .,Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .,225402,0.72222,Positive,3,1
82,a screenplay more ingeniously constructed than `` Memento '',a screenplay more ingeniously constructed than `` Memento '',228134,0.83333,Very_Positive,4,1
131,`` Extreme Ops '' exceeds expectations .,`` Extreme Ops '' exceeds expectations .,227472,0.73611,Positive,3,1
132,"Good fun , good action , good acting , good dialogue , good pace , good cinematography .","Good fun , good action , good acting , good dialogue , good pace , good cinematography .",223512,0.90278,Very_Positive,4,1
133,You Should Pay Nine Bucks for This : Because you can hear about suffering Afghan refugees on the news and still be unaffected .,You Should Pay Nine Bucks for This : Because you can hear about suffering Afghan refugees on the news and still be unaffected .,227271,0.44444,Neutral,2,1
134,Dramas like this make it human .,Dramas like this make it human .,223193,0.80556,Very_Positive,4,1
135,"A thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action .","A thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action .",222105,0.44444,Neutral,2,1
136,"Still , this flick is fun , and host to some truly excellent sequences .","Still , this flick is fun , and host to some truly excellent sequences .",225973,0.81944,Very_Positive,4,1
214,Australian actor\/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation .,Australian actor\/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation .,222512,0.75,Positive,3,1
228,You walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions .,You walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions .,227310,0.61111,Positive,3,1
340,Post 9\/11 the philosophical message of `` Personal Freedom First '' might not be as palatable as intended .,Post 9\/11 the philosophical message of `` Personal Freedom First '' might not be as palatable as intended .,225498,0.44444,Neutral,2,1
387,"If you love reading and\/or poetry , then by all means check it out .","If you love reading and\/or poetry , then by all means check it out .",223986,0.77778,Positive,3,1
388,You 'll probably love it .,You 'll probably love it .,227266,0.81944,Very_Positive,4,1
428,"`` Frailty '' has been written so well , that even a simple `` Goddammit ! ''","`` Frailty '' has been written so well , that even a simple `` Goddammit ! ''",227483,0.63889,Positive,3,1
429,near the end takes on a whole other meaning .,near the end takes on a whole other meaning .,234050,0.55556,Neutral,2,1
446,"Grenier is terrific , bringing an unforced , rapid-fire delivery to Toback 's Heidegger - and Nietzsche-referencing dialogue .","Grenier is terrific , bringing an unforced , rapid-fire delivery to Toback 's Heidegger - and Nietzsche-referencing dialogue .",223544,0.875,Very_Positive,4,1
467,The Sundance Film Festival has become so buzz-obsessed that fans and producers descend upon Utah each January to ferret out The Next Great Thing .,The Sundance Film Festival has become so buzz-obsessed that fans and producers descend upon Utah each January to ferret out The Next Great Thing .,226173,0.55556,Neutral,2,1
468,"` Tadpole ' was one of the films so declared this year , but it 's really more of The Next Pretty Good Thing .","` Tadpole ' was one of the films so declared this year , but it 's really more of The Next Pretty Good Thing .",227377,0.51389,Neutral,2,1
473,The actors are fantastic .,The actors are fantastic .,226186,0.94444,Very_Positive,4,1
474,They are what makes it worth the trip to the theatre .,They are what makes it worth the trip to the theatre .,226613,0.72222,Positive,3,1
487,This is n't a new idea .,This is n't a new idea .,226662,0.33333,Negative,1,1
488,It 's been done before but never so vividly or with so much passion .,It 's been done before but never so vividly or with so much passion .,224166,0.81944,Very_Positive,4,1
584,"It 's not life-affirming -- its vulgar and mean , but I liked it .","It 's not life-affirming -- its vulgar and mean , but I liked it .",224218,0.56944,Neutral,2,1
670,What `` Empire '' lacks in depth it makes up for with its heart .,What `` Empire '' lacks in depth it makes up for with its heart .,227043,0.73611,Positive,3,1
692,"Light , silly , photographed with colour and depth , and rather a good time .","Light , silly , photographed with colour and depth , and rather a good time .",224612,0.86111,Very_Positive,4,1
702,But tongue-in-cheek preposterousness has always been part of For the most part Wilde 's droll whimsy helps `` Being Earnest '' overcome its weaknesses and Parker 's creative interference ...,But tongue-in-cheek preposterousness has always been part of For the most part Wilde 's droll whimsy helps `` Being Earnest '' overcome its weaknesses and Parker 's creative interference ...,222829,0.68056,Positive,3,1
703,Much of the movie 's charm lies in the utter cuteness of Stuart and Margolo .,Much of the movie 's charm lies in the utter cuteness of Stuart and Margolo .,225061,0.73611,Positive,3,1
704,Their computer-animated faces are very expressive .,Their computer-animated faces are very expressive .,226551,0.72222,Positive,3,1
705,"The path Ice Age follows most closely , though , is the one established by Warner Bros. giant Chuck Jones , who died a matter of weeks before the movie 's release .","The path Ice Age follows most closely , though , is the one established by Warner Bros. giant Chuck Jones , who died a matter of weeks before the movie 's release .",226410,0.54167,Neutral,2,1
749,"Much of it comes from the brave , uninhibited performances by its lead actors .","Much of it comes from the brave , uninhibited performances by its lead actors .",225056,0.83333,Very_Positive,4,1
840,"`` 13 Conversations '' holds its goodwill close , but is relatively slow to come to the point .","`` 13 Conversations '' holds its goodwill close , but is relatively slow to come to the point .",227404,0.40278,Neutral,2,1
893,`` Auto Focus '' works as an unusual biopic and document of male swingers in the Playboy era,`` Auto Focus '' works as an unusual biopic and document of male swingers in the Playboy era,227419,0.65278,Positive,3,1
894,"If Mr. Zhang 's subject matter is , to some degree at least , quintessentially American , his approach to storytelling might be called Iranian .","If Mr. Zhang 's subject matter is , to some degree at least , quintessentially American , his approach to storytelling might be called Iranian .",223903,0.52778,Neutral,2,1
896,... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... The film 's ending has a `` What was it all for ? '',... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... The film 's ending has a `` What was it all for ? '',221789,0.16667,Very_Negative,0,1
897,"feeling to it , but like the 1920 's , the trip there is a great deal of fun .","feeling to it , but like the 1920 's , the trip there is a great deal of fun .",230759,0.77778,Positive,3,1
6902,No. .,No. .,225169,0.33333,Negative,1,1
1112,`` Cremaster 3 '' should come with the warning `` For serious film buffs only ! '',`` Cremaster 3 '' should come with the warning `` For serious film buffs only ! '',227459,0.61111,Positive,3,1
1153,Made me unintentionally famous -- as the queasy-stomached critic who staggered from the theater and blacked out in the lobby .,Made me unintentionally famous -- as the queasy-stomached critic who staggered from the theater and blacked out in the lobby .,224693,0.375,Negative,1,1
1154,"But believe it or not , it 's one of the most beautiful , evocative works I 've seen .","But believe it or not , it 's one of the most beautiful , evocative works I 've seen .",222734,0.94444,Very_Positive,4,1
